name,url,label
Timothy L. Staples,http://timothylstaples.net,Well of course I know him. He’s me
John M. Dwyer,https://jdwyer2.wordpress.com/team/,PhD supervisor
Margaret M. Mayfield,https://biological-sciences.uq.edu.au/profile/36/margaret-mayfield,PhD supervisor
Victoria A. Reynolds,https://victoriaareynolds.wordpress.com/about/,One of my best friends
Anne Ola,https://www.researchgate.net/profile/Anne_Ola,
Catherine E. Lovelock,https://researchers.uq.edu.au/researcher/1430,
Nicole Robinson,https://researchers.uq.edu.au/researcher/463,
Jacqueline R. England,https://www.researchgate.net/profile/Jacqueline_England2,PhD co-supervisor
Xingwen Loy,https://www.loyxingwen.com/,Better than me in almost every way
Thomas C. Flanagan,,
Claire E. Wainwright,https://wainwrightecology.wordpress.com/,
Hao Ran Lai,https://www.researchgate.net/profile/Hao_Ran_Lai,
Lachlan S. Charles,https://www.linkedin.com/in/lachlan-charles-453bb947/?originalSubdomain=au,
John M. Pandolfi,http://marinepalaeoecology.org/prof-john-m-pandolfi/,Post-doc supervisor
Wolfgang Kiessling,https://www.gzn.nat.fau.eu/palaeontology/sekretariat/professors/wolfgang-kiesling/,
